externalTransactionId,externalUserId,externalAccountId,providerId,accountType,description,postDate,date,amount,currency,status,type
1,1,A001,AAAA,bank,"PENDING - DOMINO&#39;S - ADAMSTOWN ADAMSTOWN , 0306LAST 4 CARD DIGITS 1234",2020-05-01,2020-05-01,12,AUD,PENDING,DEBIT
2,1,A001,AAAA,bank,"PENDING - Sergio&#39;s Cakes Marrickville , 0306LAST 4 CARD DIGITS 1234",2020-05-01,2020-05-01,12,AUD,PENDING,DEBIT
3,1,A001,AAAA,bank,"PENDING - HERITAGE BAKERY &amp; PIZZ FOREST LODGE , 0305LAST 4 CARD DIGITS 1234",2020-05-01,2020-05-01,92,AUD,PENDING,DEBIT
4,1,A001,AAAA,bank,Sal&#39;s Authentic New Y    Melbourne    AU,2020-05-01,2020-05-01,12,AUD,POSTED,DEBIT
5,1,A001,AAAA,bank,DOMINO&#39;S FORTITUDE V  FORTITUDE VALQLDAU,2020-05-01,2020-05-01,7.95,AUD,POSTED,DEBIT
6,1,A001,AAAA,bank,LEO&#39;S FINE FOOD &amp; WINE   KEW          AU,2020-05-01,2020-05-01,53.3,AUD,POSTED,DEBIT
7,1,A001,AAAA,bank,Sal&#39;s Authentic New Y    Melbourne    AU,2020-05-01,2020-05-01,12,AUD,POSTED,DEBIT
8,1,A001,AAAA,bank,"PENDING - SW1 Wines &amp; Ales South Brisban , 0305LAST 4 CARD DIGITS 1234",2020-05-01,2020-05-01,28.99,AUD,PENDING,DEBIT
9,1,A001,AAAA,bank,"PENDING - Oli &amp; Levi Galleria Melbourne , 0305LAST 4 CARD DIGITS 1234",2020-05-01,2020-05-01,4,AUD,PENDING,DEBIT
10,1,A001,AAAA,bank,BARBARELLA GELATO and MELBOURNE VI AUS Card xx1234 Value Date_ 03/03/2020,2020-05-01,2020-05-01,8.9,AUD,POSTED,DEBIT
11,1,A001,AAAA,bank,"PENDING - SMP*WENDYS WENDOUREE Wendouree , 0304LAST 4 CARD DIGITS 1234",2020-05-01,2020-05-01,11.18,AUD,PENDING,DEBIT
12,1,A001,AAAA,bank,Sergio&#39;s Cakes Marrickville NS AUS Tap and Pay xx1234 Value Date_ 04/03/2020,2020-05-01,2020-05-01,3,AUD,POSTED,DEBIT
13,1,A001,AAAA,creditCard,PENDING - SMP*Baba Sweets Truganina AUS,2020-05-01,2020-05-01,15,AUD,PENDING,DEBIT
14,1,A001,AAAA,bank,HOPHAUS                  SOUTHBANK    AU Card xx1234,2020-05-01,2020-05-01,16.5,AUD,POSTED,DEBIT
26,1,A001,AAAA,bank,EG FUELCO 2383 HIGHFIE HIGHFIELDS QL AUS Card xx1234 Value Date_ 03/01/2020,2020-05-01,2020-05-01,19.47,AUD,POSTED,DEBIT
27,1,A001,AAAA,bank,BIG W W0150              TAMWORTH     AU Card xx1234,2020-05-01,2020-05-01,16,AUD,POSTED,DEBIT
28,1,A001,AAAA,bank,EG FUELCO 1729 CHIPPIN CHIPPING NORT NS AUS Card xx1234 Value Date_ 06/11/2019,2020-05-01,2020-05-01,25,AUD,POSTED,DEBIT
29,1,A001,AAAA,bank,DAISO BRISBANE QL AUS Card xx1234 Value Date_ 17/12/2019,2020-05-01,2020-05-01,17.8,AUD,POSTED,DEBIT
30,1,A001,AAAA,creditCard,WOOLWORTHS W1231         HILLSDALE,2020-05-01,2020-05-01,25.8,AUD,POSTED,DEBIT
31,1,A001,AAAA,bank,WOOLWORTHS 3335 CHADSTONE VI AUS Tap and Pay xx1234 Value Date_ 31/12/2019,2020-05-01,2020-05-01,6.3,AUD,POSTED,DEBIT
32,1,A001,AAAA,bank,WOOLWORTHS 2332 PADDINGTON QL AUS Tap and Pay xx1234 Value Date_ 19/03/2020,2020-05-01,2020-05-01,38.7,AUD,POSTED,DEBIT
33,1,A001,AAAA,bank,BARBARELLA GELATO and MELBOURNE VI AUS Card xx1234 Value Date_ 03/03/2020,2020-05-01,2020-05-01,8.9,AUD,POSTED,DEBIT
34,1,A001,AAAA,creditCard,PENDING - WOOLWORTHS 1252 ROCKDALE AUS,2020-05-01,2020-05-01,10.65,AUD,PENDING,DEBIT
35,1,A001,AAAA,creditCard,PENDING - WOOLWORTHS W1179 EAST MAITLAND AUS,2020-05-01,2020-05-01,31.5,AUD,PENDING,DEBIT
36,1,A001,AAAA,bank,WOOLWORTHS W1136         ULLADULLA    AU Card xx1234,2020-05-01,2020-05-01,4.5,AUD,POSTED,DEBIT
